p,train_rmse_cm,train_max_abs_cm,validation_rmse_cm,validation_max_abs_cm,train_sse_cm2
0.25,0.4651072960427895,0.5770377212566069,0.49009604129793527,0.5717133572661088,23.363078057881385
0.5,0.27063569859319164,0.4324624961749386,0.3049991532182052,0.44045167846228916,7.910317586126687
0.75,0.15976530404448325,0.3276655599742806,0.19426612272080127,0.33439426876979117,2.7566948566540272
1,0.09803506520316779,0.24674776331982362,0.12525213656887088,0.24714918062692637,1.037974393014051
1.25,0.061449067768339576,0.17886917541032576,0.07724365381705323,0.17010909802007101,0.40780669639658285
1.5,0.03785353095096841,0.13619441133060395,0.04124753054302274,0.10199645785413436,0.15475209898923972
2,0.012404597517708393,0.06483272761333492,0.00877831070705066,0.023310546383438657,0.01661839627424442
2.5,0.021362605312094687,0.08074277415277997,0.03522931827160802,0.07832698197932553,0.049286977817796306
3,0.037033089231173745,0.13650337358841957,0.049481319522994484,0.12239808452828105,0.14811656738444032
1.8,0.019218794663686374,0.09281435017258555,0.009617534654970209,0.03268402210131871,0.039891103379093504
1.825,0.018069985191281498,0.08927471982682555,0.007655534505486626,0.027524430326689275,0.03526463139981833
1.85,0.016992855423341953,0.08574695558027612,0.005948168585731943,0.0224587925999018,0.03118577062736902
1.875,0.015992779226094836,0.08223111437380037,0.004690141061088626,0.01748674131124095,0.027623050636457945
1.9,0.015076228172019677,0.07872725287560978,0.004205012970647313,0.01260786241388101,0.024547606836638376
1.925,0.014250703455522084,0.07523542750067258,0.0046585940720939535,0.014329111127339145,0.021932915289540736
1.95,0.013524516344858661,0.07175569435640172,0.005776433684817968,0.017279311136842335,0.0197545545751337
1.975,0.012906355303118235,0.06828810922984996,0.007212774075543981,0.02032725513971667,0.017989992778715443
2,0.012404597517708393,0.06483272761333492,0.00877831070705066,0.023310546383438657,0.01661839627424442
2.025,0.012026382507905402,0.061389604680985865,0.010387130393320567,0.026182186585325118,0.015620458632456927
2.05,0.011776564746530811,0.057958795249431594,0.011999212607929048,0.028945470536052564,0.01497824754075709
2.075,0.011656768626199505,0.05454035379101896,0.01359460417555275,0.031603664580072355,0.0146750675189129
2.1,0.011664816298854488,0.051134334442888285,0.0151627508721259,0.034160000913245225,0.0146953374428903
2.125,0.011794726060237794,0.047740790956237955,0.016697856604572254,0.03661767274603056,0.015024480786293678
2.15,0.012037298424256356,0.04435977669556945,0.018196707380181712,0.038979829888395656,0.01564882776229729
2.175,0.012381111577569588,0.040991344669529806,0.01965757475252527,0.041249574505785036,0.01655552778079259
2.2,0.012813647045148332,0.03924353208868059,0.021079627427987392,0.04353886940014173,0.017732471464544968
